"","x"
"412","닌텐도Wii"
"413","지역"
"414","지역"
"415","지역"
"416","모바일게임"
"417","리그오브레전드"
"418","메달오브아너"
"419","던전앤파이터실행"
"420","마인크래프트"
"421","메달오브아너"
"422","메달오브아너"
"423","액션, 어드벤처..."
"424","게임사, 게임사이..."
"425","포켓몬"
"426","아이템"
"427","메이플스토리"
"428","콜오브듀티"
"429","리니지2"
"430","콜오브듀티"
"431","시뮬레이션게임"
"432","피파시리즈"
"433","아이템"
"434","게임사, 게임사이..."
"435","롤플레잉게임"
"436","삼국지"
"437","게임사, 게임사이..."
"438","피파시리즈"
"439","인디게임"
"440","액션, 어드벤처..."
"441","나이트엘프"
"442","나이트엘프"
"443","나이트엘프"
"444","롤플레잉게임"
"445","캐릭터"
"446","게임사, 게임사이..."
"447","피파시리즈"
"448","캐릭터"
"449","오버워치"
"450","캐릭터"
"451","시뮬레이션게임"
"452","모바일게임"
"453","보드, 퍼즐 게임"
"454","리니지"
"455","바람의나라실행"
"456","액션, 어드벤처..."
"457","게임사, 게임사이..."
"458","플레이스테이션"
"459","시뮬레이션게임"
"460","테라"
"461","지역"
"462","메달오브아너"
"463","메달오브아너"
"464","GTA"
"465","게임리그, 게이머"
"466","인디게임"
"467","바람의나라실행"
"468","마인크래프트"
"469","인디게임"
"470","피파시리즈"
"471","심즈"
"472","FPS, 슈팅게임"
"473","캐릭터"
"474","게임사, 게임사이..."
"475","닌텐도DS"
"476","록맨"
"477","플레이스테이션"
"478","모바일게임"
"479","시뮬레이션게임"
"480","삼국지"
"481","모바일게임"
"482","액션, 어드벤처..."
"483","모바일게임"
"484","메이플스토리실행"
"485","액션, 어드벤처..."
"486","건즈더듀얼"
"487","바둑"
"488","메달오브아너"
"489","록맨"
"490","모바일게임"
"491","군주"
"492","콜오브듀티"
"493","닌텐도Wii"
"494","건즈더듀얼"
"495","레인보우식스"
"496","나이트온라인"
"497","삼국지"
"498","FPS, 슈팅게임"
"499","리그오브레전드"
"500","리그오브레전드"
"501","게임사, 게임사이..."
"502","모바일게임"
"503","심즈"
"504","겟앰프드"
"505","화투게임"
"506","캐릭터"
"507","롤플레잉게임"
"508","게임리그, 게이머"
"509","피파시리즈"
"510","아이템"
"511","캐릭터"
"512","롤플레잉게임"
"513","롤플레잉게임"
"514","건즈더듀얼"
"515","GTA"
"516","건즈더듀얼"
"517","리그오브레전드"
"518","보드, 퍼즐 게임"
"519","롤플레잉게임"
"520","포켓몬"
"521","게임사, 게임사이..."
"522","테일즈런너"
"523","워크래프트"
"524","액션, 어드벤처..."
"525","시뮬레이션게임"
"526","게임사, 게임사이..."
"527","캐릭터"
"528","액션, 어드벤처..."
"529","포켓몬"
"530","피파시리즈"
"531","심즈"
"532","리그오브레전드"
"533","콜오브듀티"
"534","마구마구"
"535","닌텐도Wii"
"536","시뮬레이션게임"
"537","건즈더듀얼"
"538","게임사, 게임사이..."
"539","아이템"
"540","슈퍼마리오"
"541","인디게임"
"542","게임리그, 게이머"
"543","캐릭터"
"544","비디오게임"
"545","나이트온라인"
"546","롤플레잉게임"
"547","피파시리즈"
"548","리그오브레전드"
"549","체스"
"550","포켓몬"
"551","오버워치"
"552","게임리그, 게이머"
"553","지역"
"554","모바일게임"
"555","닌텐도DS"
"556","GTA"
"557","나이트엘프"
"558","롤플레잉게임"
"559","FPS, 슈팅게임"
"560","겟앰프드"
"561","액션, 어드벤처..."
"562","던전앤파이터"
"563","시뮬레이션게임"
"564","건즈더듀얼"
"565","게임 제작, 기획"
"566","나이트엘프"
"567","롤플레잉게임"
"568","닌텐도DS"
"569","마인크래프트"
"570","캐릭터"
"571","메달오브아너"
"572","캐릭터"
"573","게임리그, 게이머"
"574","마인크래프트"
"575","액션, 어드벤처..."
"576","액션, 어드벤처..."
"577","심즈"
"578","플레이스테이션"
"579","FPS, 슈팅게임"
"580","게임사, 게임사이..."
"581","인디게임"
"582","GTA"
"583","인디게임"
"584","게임 제작, 기획"
"585","NBA시리즈"
"586","모바일게임"
"587","보드, 퍼즐 게임"
"588","모바일게임"
"589","닌텐도Wii"
"590","게임리그, 게이머"
"591","리니지2"
"592","인디게임"
"593","보드, 퍼즐 게임"
"594","디지몬알피지"
"595","리니지2"
"596","게임 제작, 기획"
"597","닌텐도Wii"
"598","카드게임"
"599","게임사, 게임사이..."
"600","건즈더듀얼"
"601","디지몬알피지"
"602","카드게임"
"603","롤플레잉게임"
"604","마인크래프트"
"605","리니지"
"606","게임사, 게임사이..."
"607","테트리스"
"608","모바일게임"
"609","메이플스토리"
"610","몬스터"
"611","건즈더듀얼"
"612","시뮬레이션게임"
"613","록맨"
"614","오버워치"
"615","바람의나라실행"
"616","피파시리즈"
"617","게임리그, 게이머"
"618","게임리그, 게이머"
